step,gini
1387,0.165921
1388,0.168049
1389,0.178201
1390,0.162446
1391,0.159134
1392,0.159263
1393,0.167260
1394,0.161286
1395,0.165829
1396,0.165535
1397,0.168977
1398,0.178571
1399,0.169399
1400,0.166526
1401,0.174757
1402,0.175219
1403,0.171754
1404,0.178893
1405,0.181315
1406,0.193223
1407,0.204105
1408,0.196320
1409,0.182584
1410,0.172160
1411,0.164088
1412,0.167220
1413,0.154615
1414,0.169695
1415,0.171135
1416,0.170645
1417,0.179288
1418,0.197518
1419,0.196604
1420,0.192309
1421,0.204753
1422,0.193671
1423,0.188931
1424,0.180812
1425,0.183534
1426,0.187768
1427,0.182283
1428,0.185070
1429,0.181152
1430,0.175136
1431,0.175165
1432,0.168720
1433,0.162203
1434,0.165114
1435,0.168466
1436,0.140595
1437,0.139910
1438,0.132967
1439,0.131756
1440,0.124088
1441,0.113720
1442,0.110819
1443,0.124905
1444,0.136083
1445,0.154030
1446,0.152985
1447,0.155067
1448,0.156652
1449,0.149305
1450,0.148330
1451,0.141346
1452,0.125375
1453,0.135482
1454,0.142881
1455,0.142140
1456,0.130197
1457,0.128055
1458,0.128302
1459,0.123363
1460,0.125706
1461,0.113907
1462,0.111859
1463,0.115899
1464,0.111789
1465,0.111198
1466,0.107162
1467,0.096529
1468,0.102880
1469,0.106009
1470,0.116792
1471,0.120609
1472,0.131299
1473,0.133734
1474,0.137850
1475,0.131257
1476,0.126510
1477,0.126686
1478,0.117629
1479,0.118787
1480,0.105476
1481,0.112579
1482,0.118735
1483,0.116530
1484,0.107377
1485,0.111662
1486,0.106819
1487,0.117492
1488,0.108751
1489,0.107824
1490,0.110044
1491,0.120453
1492,0.120925
1493,0.121039
1494,0.126849
1495,0.112229
1496,0.119029
1497,0.118320
1498,0.117578
1499,0.089725
1500,0.086599
1501,0.090272
1502,0.095744
1503,0.101643
1504,0.103422
1505,0.102420
1506,0.117125
1507,0.127781
1508,0.126753
1509,0.130679
1510,0.136513
1511,0.127656
1512,0.118665
1513,0.107835
1514,0.118701
1515,0.131551
1516,0.119697
1517,0.112903
1518,0.122976
1519,0.136935
1520,0.151277
1521,0.154608
1522,0.156524
1523,0.160306
1524,0.167733
1525,0.163446
1526,0.159491
1527,0.155654
1528,0.161669
1529,0.156310
1530,0.158336
1531,0.172928
1532,0.168565
1533,0.177497
1534,0.189141
1535,0.179803
1536,0.173167
1537,0.166631
1538,0.157709
1539,0.158834
1540,0.159162
1541,0.157724
1542,0.157237
1543,0.160571
1544,0.160031
1545,0.161354
1546,0.162842
1547,0.149287
1548,0.147893
1549,0.140659
1550,0.140666
1551,0.138655
1552,0.141407
1553,0.140518
1554,0.151647
1555,0.157462
1556,0.158124
1557,0.173786
1558,0.177011
1559,0.167425
1560,0.168631
1561,0.161698
1562,0.153899
1563,0.162622
1564,0.175356
1565,0.172135
1566,0.170336
1567,0.173156
1568,0.172313
1569,0.164137
1570,0.156737
1571,0.165863
1572,0.157369
1573,0.157019
1574,0.173733
1575,0.174844
1576,0.181624
1577,0.171779
1578,0.179098
1579,0.189049
1580,0.189119
1581,0.195497
1582,0.202351
1583,0.200359
1584,0.180888
1585,0.169936
1586,0.171614
1587,0.166829
1588,0.169071
1589,0.168505
1590,0.166224
1591,0.168983
1592,0.161355
1593,0.170263
1594,0.185524
1595,0.189725
1596,0.191740
1597,0.201385
1598,0.199194
1599,0.191853
1600,0.193694
1601,0.198668
1602,0.195857
1603,0.202887
1604,0.206633
1605,0.197278
1606,0.198934
1607,0.208235
1608,0.209176
1609,0.204045
1610,0.208404
1611,0.202989
1612,0.200857
1613,0.212307
1614,0.214690
1615,0.216965
1616,0.200800
1617,0.201625
1618,0.201573
1619,0.207454
1620,0.204571
1621,0.196529
1622,0.189398
1623,0.196275
1624,0.197543
1625,0.203318
1626,0.196295
1627,0.192558
1628,0.183643
1629,0.165158
1630,0.178979
1631,0.173807
1632,0.174268
1633,0.172927
1634,0.180173
1635,0.166311
1636,0.170746
1637,0.169299
1638,0.172869
1639,0.183674
1640,0.183116
1641,0.173794
1642,0.172091
1643,0.163865
1644,0.170304
1645,0.161496
1646,0.166618
1647,0.184816
1648,0.169655
1649,0.157407
1650,0.156249
1651,0.152647
1652,0.152387
1653,0.157591
1654,0.150874
1655,0.151841
1656,0.146759
1657,0.122983
1658,0.133803
1659,0.128452
1660,0.144337
1661,0.147542
1662,0.140951
1663,0.144996
1664,0.141603
1665,0.135291
1666,0.125933
1667,0.133801
1668,0.140965
1669,0.144211
1670,0.144365
1671,0.147867
1672,0.138317
1673,0.128717
1674,0.125277
1675,0.129976
1676,0.139216
1677,0.143711
1678,0.156826
1679,0.150387
1680,0.162488
1681,0.147117
1682,0.145086
1683,0.140677
1684,0.157341
1685,0.171730
1686,0.173073
1687,0.172599
1688,0.176398
1689,0.167551
1690,0.158434
1691,0.156026
1692,0.161068
1693,0.153386
1694,0.152904
1695,0.155100
1696,0.151959
1697,0.160411
1698,0.146011
1699,0.137995
1700,0.135564
